PREDSEDNICKIIZBORIodržani13.juna2004.prvikrug,VAR00001,V2,,V3,V4,V5,V6,V7,V8,V9,Ljiljana Aranđelović,Vladan Batić,Ivica Dačić,Milovan Drecun,Dragan Djordjević,Branislav Ivković,Mirko Jović,Jelisaveta Karađorđević,Bogoljub Karić,Dragan Maršićanin,Zoran Milinković,Tomislav Nikolić,Borislav Pelević,Marijan Rističević,Boris Tadić
70904,Para}in,50,,1542,1011,1542,531,531,11,520,6,2,16,0,0,2,0,6,111,50,2,254,2,1,68
70912,Petrovac,50,,870,503,874,367,367,9,358,7,0,57,1,0,2,2,19,54,28,0,65,2,1,120
70939,Pirot,50,,210,114,210,96,96,2,94,0,0,2,2,0,7,2,0,25,16,0,29,0,0,11
70947,Po`arevac,50,,1606,717,1607,889,889,8,881,4,10,40,2,0,1,1,21,225,109,0,223,2,1,242
70955,Po`ega,50,,379,181,379,198,198,0,198,0,2,14,7,0,0,2,9,18,60,2,58,0,0,26
70980,Prijepoqe,50,,469,332,469,137,137,0,137,1,2,3,0,0,0,0,0,13,3,0,25,1,0,89
70998,Prokupqe,50,,123,88,123,35,35,0,35,0,0,2,0,0,0,0,1,10,4,0,16,1,0,1
71048,Jagodina,50,,253,178,253,75,75,0,75,9,0,13,1,0,0,0,0,1,9,0,20,0,1,21
71072,Sjenica,50,,137,22,137,115,115,0,115,0,0,11,0,1,0,0,1,0,27,0,71,0,0,4
71099,Smederevo,50,,1430,853,1430,577,577,9,568,3,4,33,2,1,0,0,17,99,110,1,205,1,2,90
71102,Smederevska Palanka,50,,1288,571,1291,717,717,17,700,3,2,21,5,3,3,0,25,160,140,1,170,1,1,165
71145,U`ice,50,,1624,855,1624,769,769,5,764,0,3,17,1,0,1,0,10,178,158,0,180,1,1,214
71170,Trstenik,50,,887,526,887,361,361,9,352,2,3,11,4,1,2,1,20,50,50,0,170,1,0,37
71188,Tutin,50,,761,338,761,423,423,2,421,0,0,0,1,0,0,0,0,22,6,0,17,0,3,372
71218,Ub,50,,692,310,692,382,382,2,380,0,1,7,2,0,0,1,9,54,68,0,139,1,3,95
71242,^a~ak,50,,1758,934,1760,824,824,9,815,4,3,27,5,1,0,1,13,253,161,0,176,3,3,165
71269,[abac,50,,1168,613,1168,555,555,13,542,1,4,32,3,0,3,1,4,78,104,2,220,2,6,82
80128,Vr{ac,50,,919,637,919,282,282,7,275,1,3,2,0,0,2,0,4,80,14,1,92,2,2,72
80152,Zrewanin,50,,2121,1009,2122,1112,1112,16,1096,2,4,19,5,4,3,0,24,213,125,4,323,1,1,368
80209,Kikinda,50,,173,83,173,90,90,1,89,1,1,5,0,1,0,0,4,15,7,0,41,0,0,14
80284,Novi Sad-grad,50,,1440,645,1439,795,795,4,791,1,1,7,3,1,0,0,25,160,74,0,230,3,1,285
80314,Pan~evo,50,,1569,673,1569,896,895,13,882,1,2,39,9,2,1,1,20,198,87,1,215,2,0,304
80381,Sombor,50,,1086,624,1086,462,462,5,457,4,3,6,3,1,2,0,3,67,35,1,39,3,1,289
80403,Sremska Mitrovica,50,,1628,689,1628,939,939,10,929,4,1,11,2,0,7,1,18,148,91,2,578,7,1,58
80438,Subotica,50,,1484,605,1451,879,879,15,864,1,2,9,1,2,1,0,9,217,56,1,187,3,3,372
70017,Aleksandrovac,51,,178,64,178,114,114,2,112,2,1,10,0,1,1,0,2,19,32,1,19,1,9,14
70025,Aleksinac,51,,395,250,395,145,145,2,143,2,4,4,2,1,3,4,2,41,16,0,45,1,5,13
70068,Bajina Ba{ta,51,,162,111,162,51,51,0,51,0,0,0,0,1,4,0,0,9,9,0,21,0,0,7
70106,Vo`dovac,51,,2463,1301,2463,1162,1162,18,1144,3,5,35,5,0,1,2,33,221,163,0,299,6,0,371
70114,Vra~ar,51,,917,462,917,455,455,3,452,0,0,11,1,0,1,0,10,66,80,1,62,2,0,218
70149,Zvezdara,51,,1695,799,1695,896,894,5,889,2,2,25,3,0,1,0,20,156,143,0,173,1,1,362
70157,Zemun,51,,1685,820,1685,865,865,11,854,1,6,22,4,1,1,0,26,164,116,0,250,2,3,258
70165,Lazarevac,51,,620,369,620,251,251,1,250,0,0,9,1,1,0,0,12,15,85,1,83,0,0,43
70173,Mladenovac,51,,206,90,206,116,116,1,115,2,0,2,0,0,1,0,0,24,22,0,50,2,1,11
70181,Novi Beograd,51,,1093,499,1093,594,594,9,585,0,1,24,4,1,0,3,11,105,104,1,122,3,1,205
70190,Obrenovac,51,,1504,883,1504,621,621,6,615,2,10,34,2,2,0,0,21,100,87,3,224,3,3,124
