PREDSEDNICKIIZBORIodržani13.juna2004.prvikrug,VAR00001,V2,,V3,V4,V5,V6,V7,V8,V9,Ljiljana Aranđelović,Vladan Batić,Ivica Dačić,Milovan Drecun,Dragan Djordjević,Branislav Ivković,Mirko Jović,Jelisaveta Karađorđević,Bogoljub Karić,Dragan Maršićanin,Zoran Milinković,Tomislav Nikolić,Borislav Pelević,Marijan Rističević,Boris Tadić
33001,Australija,1,,128,50,128,78,78,0,78,1,0,0,0,0,2,0,1,20,17,2,2,1,1,31
33002,Austrija,1,,645,201,641,444,444,3,441,1,1,19,0,1,2,0,13,140,62,3,69,5,1,124
33003,Belgija,1,,112,16,112,96,96,1,95,0,0,2,0,0,1,0,4,9,12,2,5,1,2,57
33004,Velika Britanija,1,,311,90,311,221,221,1,220,1,0,1,0,0,2,0,4,18,44,2,18,2,2,126
33005,Gr~ka,1,,126,36,125,90,90,1,89,2,0,1,0,0,2,0,4,13,14,1,8,2,2,40
33006,Italija,1,,209,95,208,114,114,2,112,0,3,2,0,0,2,0,7,10,18,3,5,1,1,60
33007,Kanada,1,,264,128,264,136,136,0,136,0,0,0,0,0,1,0,6,4,24,2,20,2,0,77
33008,Kipar,1,,126,31,126,95,95,2,93,2,0,2,1,1,2,0,6,15,18,2,4,2,2,36
33009,Libija,1,,133,31,132,102,102,1,101,3,0,2,0,0,2,0,2,16,22,2,21,1,0,30
33011,Ruska Federacija,1,,796,468,790,328,328,5,323,2,4,4,0,3,3,4,11,42,59,2,54,3,1,131
33012,Savezna Republika Nema~ka,1,,240,27,238,213,213,0,213,0,1,4,1,4,2,3,6,39,30,3,45,1,2,72
33013,Sjedinjene Ameri~ke Dr`ave,1,,137,32,137,105,105,0,105,0,0,0,0,0,0,0,4,6,19,1,4,0,2,69
33014,Slova~ka,1,,117,52,117,65,65,0,65,0,1,2,0,0,2,0,4,8,13,2,5,2,0,26
33015,Francuska,1,,644,111,640,533,533,2,531,1,0,9,0,2,4,2,10,152,99,20,113,10,1,108
33016,Holandija,1,,117,25,117,92,92,1,91,0,0,2,0,0,2,0,2,15,10,0,19,2,2,37
33017,^e{ka Republika,1,,124,8,123,116,116,0,116,0,0,2,0,0,2,0,4,9,17,2,4,0,1,75
33018,[vajcarska,1,,236,56,234,180,180,0,180,1,1,5,0,3,3,0,3,31,23,3,62,2,0,43
55001,Zavodi za izvr{enje zavodskih sankcija,1,,923,308,923,615,615,6,609,1,4,3,2,0,0,1,31,42,44,0,437,2,1,41
70017,Aleksandrovac,1,,249,104,249,145,145,1,144,2,1,6,0,2,3,2,0,14,8,0,65,2,1,38
70025,Aleksinac,1,,296,155,296,141,141,2,139,2,0,15,0,1,0,1,1,23,11,0,71,1,2,11
70033,Aran|elovac,1,,1568,751,1568,817,816,15,801,2,3,21,3,1,0,0,17,139,123,3,359,6,2,122
70041,Ariqe,1,,824,332,824,492,492,7,485,0,1,28,4,0,5,3,16,67,102,1,103,3,1,151
70050,Babu{nica,1,,582,281,582,301,301,3,298,0,14,19,2,0,1,3,4,59,43,1,91,6,1,54
70068,Bajina Ba{ta,1,,779,376,779,403,403,5,398,0,0,20,2,0,6,0,5,54,101,0,112,3,0,95
70076,Bato~ina,1,,121,40,121,81,81,0,81,1,0,8,0,0,4,1,3,7,27,0,9,2,6,13
70084,Bela Palanka,1,,293,122,293,171,171,3,168,1,1,9,3,0,3,0,5,26,14,0,55,0,3,48
70092,Barajevo,1,,708,394,708,314,314,3,311,1,3,13,1,0,2,0,3,41,79,0,92,4,3,69
70106,Vo`dovac,1,,2101,1150,2101,951,950,19,931,2,5,15,5,3,2,1,19,210,123,3,263,5,3,272
70114,Vra~ar,1,,904,431,904,473,473,6,467,0,1,11,0,0,2,1,12,51,78,0,51,0,1,259
70122,Grocka,1,,1746,1127,1746,619,619,13,606,4,2,32,0,3,3,1,16,102,110,0,238,3,2,90
70149,Zvezdara,1,,2019,1025,2019,994,994,5,989,4,1,24,1,0,1,0,26,141,182,0,143,3,0,463
70157,Zemun,1,,1092,543,1092,549,549,2,547,2,0,10,1,0,3,2,12,66,131,0,75,0,0,245
70165,Lazarevac,1,,691,294,691,397,395,5,390,0,0,23,2,0,0,1,2,51,105,1,64,0,0,141
70173,Mladenovac,1,,848,379,948,469,469,8,461,2,2,27,6,1,3,0,16,113,67,0,123,0,0,101
70181,Novi Beograd,1,,2526,1649,2326,877,877,13,864,3,3,24,5,2,1,0,10,204,98,1,303,4,1,205
70190,Obrenovac,1,,858,456,858,402,402,5,397,0,10,24,0,0,0,0,7,82,56,2,107,0,0,109
70203,Palilula,1,,1269,596,1269,673,673,5,668,0,2,25,1,0,5,0,16,72,132,0,94,3,3,315
70211,Rakovica,1,,1676,836,1676,840,840,11,829,2,4,29,1,0,0,0,24,181,125,0,180,3,0,280
70220,Savski Venac,1,,1279,682,1277,597,597,6,591,0,2,13,2,1,1,1,13,106,103,1,116,2,0,230
70238,Sopot,1,,235,119,235,116,116,1,115,3,0,4,0,1,1,0,6,17,7,0,58,2,0,16
70246,Stari Grad,1,,1248,500,1248,748,748,5,743,0,2,13,3,4,0,0,18,108,144,1,107,0,0,343
70254,^ukarica,1,,2357,1231,2357,1126,1126,14,1112,2,4,27,3,0,1,1,43,199,182,0,233,3,0,414
70262,Blace,1,,1301,715,1303,586,586,7,579,2,5,23,2,1,6,2,7,79,127,1,182,5,0,137
70289,Bogati},1,,934,609,934,325,325,5,320,0,0,60,3,0,4,1,4,18,17,1,195,0,1,16
70297,Bojnik,1,,603,299,603,304,304,0,304,0,11,17,3,0,7,3,31,54,27,0,104,1,4,42
70319,Boqevac,1,,337,199,337,138,138,3,135,2,0,20,0,0,1,0,1,5,12,0,56,3,7,28
70327,Bor,1,,879,534,879,345,345,6,339,1,2,8,1,1,2,0,8,152,27,1,92,2,2,40
70335,Bosilegrad,1,,695,262,695,433,433,15,418,0,2,12,1,4,0,0,5,71,159,0,53,0,5,106
70343,Brus,1,,401,227,401,174,174,2,172,4,3,8,1,0,1,0,2,23,33,0,61,1,1,34
70351,Bujanovac,1,,1289,1288,1289,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70360,Vaqevo,1,,1652,750,1652,902,902,21,881,0,2,40,10,0,5,0,12,167,201,0,178,0,1,265
70378,Varvarin,1,,510,356,510,154,154,1,153,1,0,13,1,1,0,0,12,32,26,0,39,0,0,28
70386,Velika Plana,1,,891,599,891,292,292,2,290,4,1,20,0,0,1,0,1,55,24,0,135,6,0,43
70394,Veliko Gradi{te,1,,451,281,451,170,170,0,170,0,1,36,2,0,1,0,4,27,9,0,59,1,1,29
70408,Vladimirci,1,,461,260,461,201,201,6,195,4,0,14,2,1,1,0,4,23,31,0,94,0,1,20
70416,Vladi~in Han,1,,506,215,506,291,291,3,288,1,1,20,1,1,0,1,5,47,68,1,89,6,0,47
70424,Vlasotince,1,,697,360,697,337,337,2,335,1,2,3,5,2,0,1,5,56,45,0,162,2,1,50
70432,Vrawe,1,,1134,582,1134,552,552,9,543,3,1,29,7,1,2,0,15,137,68,1,134,6,1,138
70459,Vrwa~ka Bawa,1,,478,278,478,200,200,9,191,0,1,3,3,0,0,1,8,27,39,0,77,1,0,31
70467,Gaxin Han,1,,360,223,360,137,137,1,136,1,2,5,6,1,4,2,3,38,21,0,35,4,2,12
70475,Golubac,1,,485,206,485,279,279,5,274,3,1,12,0,0,0,1,4,69,37,0,64,1,0,82
70483,Gorwi Milanovac,1,,583,337,583,246,246,9,237,4,1,16,0,0,0,0,3,27,69,0,62,8,1,46
70491,Despotovac,1,,478,282,478,196,196,4,192,5,0,2,2,1,8,2,6,49,30,0,41,2,1,43
70505,Dimitrovgrad,1,,1255,648,1255,607,607,8,599,3,8,21,2,1,7,1,7,188,74,0,120,2,3,162
70513,Doqevac,1,,525,310,525,215,215,3,212,0,3,7,4,0,8,2,3,46,22,0,97,1,1,18
70521,@abari,1,,338,167,338,171,171,1,170,0,1,59,0,3,0,8,0,26,5,0,37,0,0,31
70530,@agubica,1,,403,173,404,230,230,6,224,0,2,13,2,0,1,0,6,67,32,1,45,2,0,53
70548,@itora|a,1,,324,162,324,162,162,1,161,0,0,18,0,0,6,0,1,37,30,2,35,18,1,13
70556,Zaje~ar,1,,1439,814,1439,625,625,3,622,3,3,12,5,1,6,0,16,178,70,1,173,5,1,148
70564,Ivawica,1,,1435,698,1438,737,737,4,733,2,3,28,1,0,2,0,6,102,172,1,213,3,1,199
70572,Kladovo,1,,1103,546,1103,557,557,8,549,7,0,24,0,1,1,0,7,162,63,3,133,4,1,143
70599,Kni},1,,563,306,563,257,257,7,250,1,5,8,1,0,1,0,7,32,21,0,142,1,1,30
70602,Kwa`evac,1,,843,560,843,283,283,3,280,1,2,14,4,4,0,0,9,48,30,1,132,1,2,32
70629,Kosjeri},1,,456,218,456,238,238,6,232,1,1,23,7,0,2,7,7,23,32,0,71,2,0,56
70637,Koceqeva,1,,399,196,399,203,203,4,199,0,2,16,0,0,1,0,2,13,43,1,93,2,2,24
70645,Kragujevac-grad,1,,1312,594,1314,718,718,4,714,2,11,18,0,0,0,0,15,129,134,0,184,3,1,217
70653,Kraqevo,1,,1689,1024,1689,665,665,11,654,1,3,16,5,1,2,2,8,119,93,1,244,3,0,156
70661,Krupaw,1,,169,87,169,82,82,1,81,0,3,9,0,0,0,1,4,7,10,0,31,0,0,16
70670,Kru{evac,1,,2229,1206,2229,1023,1023,14,1009,1,2,20,9,0,0,0,19,225,187,2,306,3,3,232
70688,Kur{umlija,1,,646,404,646,242,242,1,241,1,0,26,3,3,0,1,1,38,21,0,104,1,0,42
70696,Ku~evo,1,,281,149,281,132,132,1,131,0,2,10,0,0,0,0,4,32,21,0,23,0,0,39
70700,Lajkovac,1,,547,289,547,258,258,1,257,0,1,21,0,0,1,0,0,31,68,0,85,0,1,49
70718,Lebane,1,,858,396,858,462,462,3,459,0,3,19,1,1,1,0,5,155,75,0,126,0,3,70
70726,Leskovac,1,,1899,874,1899,1025,1025,11,1014,1,7,45,9,1,13,3,16,274,115,0,246,5,1,278
70734,Loznica,1,,1432,797,1432,635,634,7,627,1,4,30,2,1,4,0,8,144,97,5,216,1,2,112
70742,Lu~ani,1,,158,70,153,88,88,0,88,0,0,20,0,0,1,0,0,19,27,0,9,0,0,12
70769,Qig,1,,486,220,486,266,266,10,256,0,3,5,2,3,15,0,3,24,73,0,68,0,0,60
70777,Qubovija,1,,888,405,888,483,483,8,475,1,5,29,1,2,3,0,17,48,85,2,120,2,1,159
70785,Majdanpek,1,,487,280,486,207,207,1,206,4,1,18,0,6,0,0,4,42,13,0,71,2,0,45
70793,Mali Zvornik,1,,338,170,338,168,168,1,167,0,0,9,0,0,0,0,4,18,16,1,49,0,0,70
70807,Malo Crni}e,1,,184,99,184,85,85,4,81,1,0,14,0,0,2,0,0,15,5,0,26,0,0,18
70815,Medve|a,1,,1365,680,1365,685,685,18,667,3,5,45,3,1,1,2,11,231,53,3,161,5,2,141
70823,Mero{ina,1,,309,216,309,93,93,2,91,1,0,16,0,1,1,1,1,14,22,0,30,0,1,3
70831,Mionica,1,,580,171,580,409,409,5,404,0,16,15,1,1,1,0,6,41,127,1,87,1,0,107
70840,Negotin,1,,890,592,890,298,298,6,292,0,0,11,0,0,0,0,2,111,29,0,89,4,0,46
70858,Ni{,1,,1921,1034,1921,887,887,8,879,0,5,19,6,3,0,4,27,232,147,0,184,1,1,250
70866,Nova Varo{,1,,401,288,401,113,113,0,113,2,0,6,1,2,1,1,2,10,26,1,32,0,0,29
70874,Novi Pazar,1,,558,417,558,141,141,3,138,0,0,0,0,0,0,0,0,8,8,0,6,0,0,116
70882,Ose~ina,1,,1169,563,1169,606,606,16,590,0,4,42,6,2,3,1,15,69,113,1,186,1,0,147
70904,Para}in,1,,846,399,846,447,447,7,440,11,1,18,1,2,1,0,5,98,45,1,146,1,0,110
70912,Petrovac,1,,761,323,761,438,438,9,429,15,1,42,3,0,2,1,15,105,53,0,136,1,3,52
70939,Pirot,1,,991,467,991,524,524,3,521,4,4,14,3,0,0,4,6,197,53,0,123,1,2,110
70947,Po`arevac,1,,958,628,958,330,330,6,324,1,1,15,0,0,3,2,10,44,46,0,112,3,1,86
70955,Po`ega,1,,824,360,824,464,464,5,459,2,6,41,3,0,1,0,12,64,61,0,124,1,1,143
70963,Pre{evo,1,,875,850,875,25,25,0,25,0,0,3,0,0,0,0,1,1,0,0,14,0,0,6
70971,Priboj,1,,1261,815,1261,446,446,1,445,0,2,4,0,1,2,0,5,56,12,0,75,2,1,285
70980,Prijepoqe,1,,202,116,202,86,86,0,86,0,0,5,0,0,0,0,0,0,10,0,51,0,1,19
70998,Prokupqe,1,,383,159,382,224,224,0,224,0,0,11,2,0,0,0,2,44,39,0,75,1,0,50
71005,Ra`aw,1,,1157,550,1157,607,607,6,601,10,4,30,5,6,16,5,14,178,64,1,179,4,1,84
71013,Ra~a,1,,316,199,316,117,117,3,114,1,0,1,0,1,1,0,4,23,34,0,33,1,0,15
71021,Ra{ka,1,,960,526,960,434,434,7,427,0,2,14,4,0,0,4,8,83,69,0,138,13,1,91
71030,Rekovac,1,,393,123,393,270,270,6,264,0,0,8,0,1,0,3,7,19,54,0,68,0,0,104
71048,Jagodina,1,,724,460,724,264,264,7,257,5,0,24,2,0,3,0,11,63,21,0,63,4,2,59
71056,Svilajnac,1,,1269,595,1269,674,674,14,660,1,3,19,2,1,0,0,17,180,113,0,175,4,1,144
71064,Svrqig,1,,299,134,299,165,165,2,163,1,1,10,4,2,5,0,2,16,20,1,76,5,9,11
71072,Sjenica,1,,137,104,137,33,33,1,32,0,0,0,1,1,0,1,1,0,0,0,2,0,0,26
71099,Smederevo,1,,1238,638,1238,600,600,4,596,5,1,27,3,1,2,0,16,109,93,0,119,0,1,219
71102,Smederevska Palanka,1,,713,496,713,217,217,3,214,2,0,10,1,0,1,1,2,41,33,1,77,1,0,44
71129,Sokobawa,1,,614,351,614,263,263,2,261,2,0,8,0,1,3,0,11,54,42,0,95,2,1,42
71137,Surdulica,1,,891,545,891,346,346,1,345,1,1,32,6,3,1,2,1,47,43,2,122,2,1,81
71145,U`ice,1,,352,221,352,131,131,2,129,0,1,3,1,2,1,0,12,28,25,0,29,1,0,26
71153,Topola,1,,440,219,439,221,221,2,219,1,4,9,0,0,0,1,4,27,27,0,96,2,0,48
71161,Trgovi{te,1,,174,113,174,61,61,1,60,2,5,1,0,1,0,2,1,2,6,2,27,1,0,10
71170,Trstenik,1,,1266,609,1264,657,657,4,653,2,1,20,7,1,4,0,14,118,139,0,150,4,0,193
71188,Tutin,1,,838,531,838,307,307,0,307,0,0,0,0,0,0,0,1,28,38,2,1,1,0,236
71196,]i}evac,1,,123,59,123,64,64,2,62,0,0,6,0,0,1,0,3,15,3,0,22,3,0,9
71200,]uprija,1,,1184,636,1184,548,548,7,541,9,3,15,3,0,2,0,10,202,43,0,139,1,0,114
71218,Ub,1,,895,519,895,376,376,5,371,0,6,31,1,1,0,0,9,35,79,1,149,4,0,55
71226,Crna Trava,1,,114,78,114,36,36,0,36,1,0,1,1,0,0,0,0,7,3,0,21,1,0,1
71234,^ajetina,1,,228,120,228,108,108,2,106,1,1,7,2,2,1,0,3,14,28,1,37,1,0,8
71242,^a~ak,1,,2086,1034,2086,1052,1052,15,1037,1,2,43,3,1,1,1,25,254,174,1,180,4,2,345
71269,[abac,1,,1550,708,1551,842,842,8,834,0,1,34,7,1,1,0,26,115,155,1,182,3,1,307
71277,Lapovo,1,,533,269,533,264,264,3,261,2,1,21,0,1,0,1,10,47,38,1,82,3,0,54
71285,Ni{ka Bawa,1,,1904,1037,1904,867,867,15,852,3,3,20,13,0,2,1,31,223,162,0,208,1,4,181
80012,Ada,1,,822,450,822,372,372,3,369,0,8,4,1,2,2,2,5,37,13,2,39,1,4,249
80039,Alibunar,1,,760,369,760,391,391,2,389,2,0,14,3,1,5,3,10,58,80,0,112,5,2,94
80047,Apatin,1,,869,414,869,455,455,4,451,0,2,15,3,1,1,0,6,71,52,1,207,0,1,91
80055,Ba~,1,,688,295,688,393,393,4,389,0,0,3,2,2,0,0,10,50,16,0,257,5,3,41
80063,Ba~ka Palanka,1,,1095,464,1096,631,631,3,628,1,2,28,0,0,2,0,8,116,67,0,327,3,1,73
80071,Ba~ka Topola,1,,746,363,746,383,383,5,378,3,0,4,1,2,0,1,11,40,20,0,100,1,2,193
80080,Ba~ki Petrovac,1,,346,155,346,191,191,2,189,0,4,2,2,0,1,0,2,16,14,0,17,0,0,131
80098,Bela Crkva,1,,1297,591,1297,706,706,8,698,1,9,11,1,0,1,0,9,168,113,0,211,3,1,170
80101,Beo~in,1,,127,60,127,67,67,1,66,0,0,11,3,0,3,1,0,18,0,0,29,0,0,1
80110,Be~ej,1,,951,481,951,470,470,2,468,0,5,5,3,0,1,1,7,55,35,1,120,2,0,233
80128,Vr{ac,1,,1188,521,1188,667,667,9,658,2,1,19,1,0,2,0,21,91,105,1,155,0,0,260
80136,@abaq,1,,693,379,693,314,314,2,312,0,1,11,4,1,1,0,4,76,18,1,129,0,1,65
80144,@iti{te,1,,640,295,635,345,345,5,340,3,5,21,2,0,0,0,10,35,47,2,149,1,0,65
80152,Zrewanin,1,,1292,700,1292,592,588,8,580,1,4,4,4,2,0,3,14,116,54,0,70,1,2,305
80179,In|ija,1,,877,380,877,497,497,3,494,2,0,22,0,0,1,0,6,88,29,0,237,0,0,109
80187,Irig,1,,702,359,702,343,343,10,333,1,1,16,2,0,1,2,8,55,39,0,160,1,1,46
80195,Kawia,1,,835,469,835,366,366,0,366,0,7,4,3,2,1,3,1,4,4,3,24,4,2,304
80209,Kikinda,1,,1110,577,1110,533,533,6,527,3,1,0,2,1,0,3,7,138,53,0,163,2,0,154
80217,Kova~ica,1,,588,281,594,307,307,3,304,1,0,7,1,2,2,0,5,68,20,0,117,1,0,80
80225,Kovin,1,,2305,1126,2305,1179,1177,20,1157,6,6,32,4,1,9,2,24,320,129,2,339,5,2,276
80233,Kula,1,,974,533,974,441,441,4,437,1,1,8,3,1,2,0,5,74,50,1,215,2,0,74
80241,Mali I|o{,1,,436,255,436,181,181,4,177,2,5,3,0,1,0,0,0,12,7,0,13,1,3,130
80250,Nova Crwa,1,,505,226,505,279,279,4,275,0,17,13,4,0,0,0,9,28,31,2,128,1,0,42
80268,Novi Be~ej,1,,682,282,682,400,400,7,393,2,1,14,3,1,2,1,4,81,39,0,100,1,3,141
80276,Novi Kne`evac,1,,188,94,188,94,94,1,93,0,1,1,2,0,1,1,1,8,6,1,30,0,0,41
80284,Novi Sad-grad,1,,1302,652,1300,650,650,8,642,4,0,37,3,0,1,0,16,95,68,0,294,3,1,120
80292,Opovo,1,,313,179,313,134,134,0,134,0,0,6,1,0,0,0,1,28,12,0,46,1,0,39
80306,Oxaci,1,,565,337,565,228,228,0,228,0,1,4,2,1,0,0,6,25,22,0,135,0,1,31
80314,Pan~evo,1,,1547,944,1547,603,603,3,600,3,2,16,8,1,1,1,13,137,85,0,217,8,2,106
80322,Pe}inci,1,,529,316,529,213,213,4,209,0,0,5,0,1,1,0,3,46,26,1,84,2,2,38
80349,Plandi{te,1,,266,84,266,182,182,6,176,0,0,8,2,2,0,1,0,14,21,1,91,0,1,35
80357,Ruma,1,,1500,658,1488,842,842,8,834,0,1,31,3,0,0,1,19,142,149,3,295,1,2,187
80365,Senta,1,,688,389,688,299,299,2,297,0,5,3,0,2,5,1,3,9,5,0,25,1,0,238
80373,Se~aw,1,,326,143,326,183,183,3,180,0,3,14,3,0,1,2,2,43,18,2,61,2,4,25
80381,Sombor,1,,1499,715,1499,784,783,7,776,1,0,27,3,0,4,0,18,127,130,1,139,4,0,322
80390,Srbobran,1,,510,209,510,301,301,3,298,0,0,11,2,0,0,0,8,46,18,0,155,2,0,56
80403,Sremska Mitrovica,1,,779,424,779,355,355,7,348,3,0,9,3,0,6,2,8,34,51,2,167,2,4,57
80411,Sremski Karlovci,1,,478,243,478,235,235,1,234,0,1,1,2,1,0,0,8,44,37,0,71,2,1,66
80420,Stara Pazova,1,,1039,563,1039,476,476,2,474,1,0,7,4,0,0,0,16,72,21,0,278,5,0,70
80438,Subotica,1,,1483,733,1483,750,750,5,745,2,11,13,2,0,1,1,10,157,93,3,144,2,0,306
80446,Temerin,1,,608,224,608,384,384,2,382,0,2,25,1,0,0,0,1,55,30,0,216,4,0,48
80454,Titel,1,,550,205,550,345,345,3,342,0,0,12,2,0,2,1,3,85,28,1,80,1,2,125
80462,Vrbas,1,,1122,546,1122,576,574,8,566,3,2,37,5,0,0,0,8,85,44,0,251,1,3,127
80489,^oka,1,,312,158,312,154,154,5,149,1,3,5,2,0,0,2,1,6,4,4,4,0,2,115
80497,[id,1,,909,462,909,447,447,4,443,0,1,11,6,0,1,1,5,33,45,0,245,2,8,85
90018,Vitina,1,,132,58,132,74,74,1,73,2,1,2,1,0,0,0,2,3,27,0,20,0,0,15
90026,Vu~itrn,1,,500,222,486,278,278,0,278,0,2,1,0,0,0,0,4,55,44,0,154,8,1,9
90042,Gwilane,1,,176,100,176,76,76,1,75,0,0,19,1,0,0,0,2,8,12,0,22,1,0,10
90093,Zubin Potok,1,,427,159,427,268,267,1,266,0,0,21,1,0,0,1,2,56,80,0,97,0,0,8
90107,Istok,1,,211,81,211,130,130,1,129,3,2,7,1,0,1,0,2,29,5,1,60,0,1,17
90131,Kosovo Poqe,1,,545,517,545,28,28,0,28,0,0,1,0,0,0,0,0,5,1,0,20,0,0,1
90140,Kosovska Kamenica,1,,778,318,778,460,460,12,448,3,1,8,7,2,0,2,1,123,54,2,215,4,2,24
90158,Leposavi},1,,594,243,594,351,351,3,348,0,1,18,5,0,0,0,4,83,34,0,159,3,0,41
90166,Lipqan,1,,455,187,455,268,268,0,268,0,0,5,0,0,0,0,1,34,80,0,139,0,0,9
90182,Novo Brdo,1,,153,34,153,119,119,0,119,0,3,2,0,0,0,0,0,12,14,0,86,0,0,2
90204,Obili},1,,266,114,266,152,152,3,149,0,4,32,0,0,1,0,1,45,7,0,32,20,1,6
90212,Orahovac,1,,401,129,401,272,272,4,268,0,2,10,1,0,0,1,5,50,25,0,143,1,0,30
90239,Pe},1,,133,70,133,63,63,0,63,0,0,8,0,0,0,0,2,16,11,0,6,1,0,19
90255,Prizren,1,,180,27,180,153,153,3,150,1,0,8,0,2,0,1,4,22,2,2,105,0,0,3
90263,Pri{tina,1,,572,400,572,172,172,1,171,0,0,11,1,0,0,0,1,35,5,0,101,1,0,16
90271,Srbica,1,,132,69,132,63,63,3,60,0,0,2,0,0,0,0,0,15,22,1,20,0,0,0
90298,Kosovska Mitrovica,1,,1167,843,1167,324,324,4,320,0,3,11,1,0,1,0,4,94,42,0,109,5,2,48
90328,[trpce,1,,463,198,463,265,265,4,261,0,0,19,0,2,0,1,0,100,16,0,106,0,1,16
90352,Zve~an,1,,1476,920,1476,556,556,0,556,0,2,21,0,1,3,0,10,151,48,0,223,6,0,91
55001,Zavodi za izvr{enje zavodskih sankcija,10,,125,14,125,111,111,1,110,0,0,1,1,0,0,0,1,5,13,0,80,1,1,7
70017,Aleksandrovac,10,,231,87,231,144,144,1,143,0,0,8,0,3,2,0,4,6,27,4,21,1,4,63
70025,Aleksinac,10,,188,91,188,97,97,1,96,0,1,3,0,0,2,0,1,21,15,0,41,4,2,6
70033,Aran|elovac,10,,1930,935,1930,995,995,14,981,4,5,32,6,1,3,1,25,173,194,0,353,4,1,179
70041,Ariqe,10,,439,234,439,205,205,4,201,3,1,19,0,3,0,0,3,18,42,0,72,3,1,36
70050,Babu{nica,10,,181,100,181,81,81,2,79,3,0,8,1,0,0,0,0,8,8,2,41,4,0,4
70068,Bajina Ba{ta,10,,107,38,107,69,69,0,69,1,3,3,2,0,0,1,0,4,3,0,18,1,0,33
70076,Bato~ina,10,,374,180,374,194,194,3,191,1,4,12,0,0,1,0,2,41,55,0,44,1,0,30
70084,Bela Palanka,10,,377,166,377,211,211,2,209,3,0,16,6,1,1,1,5,38,34,0,61,1,0,42
70092,Barajevo,10,,731,360,731,371,371,7,364,0,0,36,0,0,4,0,4,46,83,3,133,0,1,54
70106,Vo`dovac,10,,1619,851,1619,768,768,4,764,1,1,38,1,0,4,0,26,132,148,1,176,1,0,235
70114,Vra~ar,10,,948,488,947,460,460,11,449,1,0,10,0,0,1,0,11,66,77,2,55,1,0,225
70122,Grocka,10,,1692,1031,1692,661,661,4,657,1,2,39,1,0,2,1,8,167,81,2,221,3,0,129
70149,Zvezdara,10,,1136,643,1136,493,493,5,488,0,1,5,2,1,1,0,11,92,90,1,96,2,1,185
70157,Zemun,10,,1352,692,1352,660,660,5,655,1,2,11,2,0,0,1,19,103,100,2,155,3,0,256
70165,Lazarevac,10,,745,350,745,395,395,4,391,1,1,16,2,0,1,0,5,43,102,2,69,2,0,147
70173,Mladenovac,10,,720,373,720,347,347,5,342,2,1,7,4,1,3,0,1,108,53,0,112,4,0,46
70181,Novi Beograd,10,,1231,519,1231,712,712,6,706,0,1,50,2,1,5,0,19,117,123,1,162,0,1,224
70190,Obrenovac,10,,991,486,991,505,505,5,500,0,29,25,0,1,1,1,13,80,92,1,120,2,0,135
70203,Palilula,10,,968,444,968,524,524,4,520,3,3,8,2,1,1,1,12,67,86,0,72,0,2,262
70211,Rakovica,10,,1770,931,1770,839,839,7,832,0,3,26,3,0,4,1,29,175,133,1,204,5,3,245
70220,Savski Venac,10,,1291,619,1291,672,672,7,665,0,0,14,1,0,2,0,18,92,114,1,113,0,0,310
70238,Sopot,10,,647,386,647,261,261,3,258,0,0,13,1,1,1,3,7,57,33,1,102,1,1,37
70246,Stari Grad,10,,1042,516,1042,526,526,3,523,1,1,11,1,1,1,0,15,80,106,0,115,2,0,189
70254,^ukarica,10,,1479,751,1479,728,728,4,724,1,1,9,1,0,0,0,26,124,105,1,173,0,0,283
70262,Blace,10,,292,122,293,170,170,4,166,0,1,17,0,0,2,0,2,13,40,0,56,0,2,33
70289,Bogati},10,,1067,508,1067,559,559,14,545,0,0,43,3,2,10,3,13,71,104,0,170,3,1,122
70297,Bojnik,10,,309,190,309,119,119,0,119,3,0,15,2,0,7,0,4,10,4,0,65,5,0,4
70319,Boqevac,10,,225,76,225,149,149,2,147,3,0,5,5,1,1,0,6,20,35,0,26,0,0,45
70327,Bor,10,,1263,730,1263,533,533,4,529,2,4,17,7,1,8,0,9,190,40,1,161,2,0,87
70335,Bosilegrad,10,,241,173,241,68,68,0,68,1,2,10,1,0,1,0,4,0,27,2,9,0,3,8
70343,Brus,10,,146,78,146,68,68,1,67,0,1,2,1,0,0,0,0,7,4,2,22,0,1,27
70351,Bujanovac,10,,221,221,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70360,Vaqevo,10,,1803,748,1803,1055,1055,20,1035,0,1,34,6,1,5,0,24,176,231,4,186,3,2,362
70378,Varvarin,10,,685,332,685,353,353,4,349,1,1,12,1,0,0,1,10,58,66,4,92,1,4,98
70386,Velika Plana,10,,913,492,913,421,421,15,406,8,1,12,0,0,1,2,11,79,42,1,197,3,1,48
70394,Veliko Gradi{te,10,,383,275,383,108,108,0,108,0,0,28,0,1,0,0,3,17,4,0,33,2,0,20
70408,Vladimirci,10,,646,308,646,338,338,6,332,1,1,38,0,2,1,1,2,59,35,0,163,3,3,23
70416,Vladi~in Han,10,,708,411,708,297,297,4,293,0,0,35,4,0,0,2,3,48,52,1,96,3,0,49
70424,Vlasotince,10,,613,306,614,307,307,2,305,2,0,32,4,0,4,0,3,42,43,0,108,2,0,65
70432,Vrawe,10,,673,347,673,326,326,10,316,2,1,14,1,1,1,0,4,64,36,0,131,4,6,51
