,Економ.класификација,ВРСТА   ПРИХОДА,ПРИХОДИ ИЗ БУЏЕТА ,СОП..ПРИХ.КОРИС.,Остали,УКУПНО
,743340,Приходи од новчаних казни за прекршаје у корист нивоа градова,"2,000,000",,,"2,000,000"
,744000,ДОБРОВОЉНИ ТРАНСФЕРИ ОД ФИЗИЧКИХ И ПРАВНИХ ЛИЦА,"1,000,000",,,"1,000,000"
,744141,Текући добровољни трансфери од физичких и правних лица у корист нивоа градова,"1,000,000",,,"1,000,000"
,744241,Капитални добровољни трансфери од физичких и правних лица у корист нивоа градова,,,,0
,745000,МЕШОВИТИ И НЕОДРЕЂЕНИ ПРИХОДИ,"40,500,000",,,"40,500,000"
,745141,Остали приходи у корист нивоа градова,"35,000,000",,,"35,000,000"
,745142,Закупнина за стан у државној својини у корист нивоа града,"500,000",,,"500,000"
,745143,Део добити јавног предузећа према одлуци управног одбора јавног предузећа у корист нивоа градова,"5,000,000",,,"5,000,000"
,770000,МЕМОРАНДУМСКЕ СТАВКЕ ЗА РЕФУНДАЦИЈУ РАСХОДА,"3,000,000",,,"3,000,000"
,772113,Меморандумске ставке за рефундацију расхода буџета града из претходне године,"3,000,000",,,"3,000,000"
,790000,ПРИХОДИ ИЗ БУЏЕТА,0,,,0
,791110,Приходи из буџета,0,,,0
,800000,ПРИМАЊА ОД ПРОДАЈЕ НЕФИНАНСИЈСКЕ ИМОВИНЕ,"21,300,000",,,"21,300,000"
,810000,ПРИМАЊА ОД ПРОДАЈЕ ОСНОВНИХ СРЕДСТАВА,"21,300,000",,,"21,300,000"
,811000,Примања од продаје непокретности,"20,000,000",,,"20,000,000"
,812000,Примања од продаје покретне имовине,"1,300,000",,,"1,300,000"
,840000,ПРИМАЊА ОД ПРОДАЈЕ ПРИРОДНЕ ИМОВИНЕ,0,,,0
,841000,Примања од продаје земљишта,,,,0
,900000,ПРИМАЊА ОД ЗАДУЖИВАЊА И ПРОДАЈЕ ФИНАНСИЈСКЕ ИМОВИНЕ,"357,250,000",,,"357,250,000"
,910000,ПРИМАЊА ОД ЗАДУЖИВАЊА ,"354,250,000",,,"354,250,000"
,911441,Примања од задуживања од пословних банака у земљи у корист нивоа градова,"354,250,000",,,"354,250,000"
,912000,Примања од иностраног задуживања,,,,0
,920000,ПРИМАЊА ОД ПРОДАЈЕ ФИН. ИМОВИНЕ,"3,000,000",,,"3,000,000"
,921941,Примања од продаје домаћих акција и осталог капитала у корист нивоа градова ,"3,000,000",,,"3,000,000"
,7+8+9,ТЕКУЋИ ПРИХОДИ И ПРИМАЊА ОД ЗАДУЖИВАЊА И ПРОДАЈЕ ФИН. ИМОВИНЕ,"2,496,630,000",,,"2,496,630,000"
,,ПРИХОДИ И ПРИМАЊА ИНДИРЕКТНИХ БУЏЕТСКИХ КОРИСНИКА ИЗ ОСТАЛИХ ИЗВОРА,,,"136,519,000","136,519,000"
,3+7+8+9,"УКУПНО ПРЕНЕТА СРЕДСТВА, ТЕКУЋИ ПРИХОДИ И ПРИМАЊА","2,517,921,000",,"191,371,000","2,709,292,000"
